Sira,Ticker,RSRating,RSScore,Fiyat,High52W,Low52W,ZirvedenUzaklik,DiptenYukselis,Tarih
1,KTLEV,99,737.89,69.0,69.0,3.21,0.0,2048.75,2026-08-31
2,ANELE,99,608.62,187.1,187.7,13.32,0.32,1304.65,2026-08-31
3,PRZMA,99,408.9,90.2,95.45,10.75,5.5,739.07,2026-08-31
4,IEYHO,99,392.99,195.5,195.5,12.6,0.0,1451.59,2026-08-31
5,SELEC,99,333.45,333.0,337.75,66.02,1.41,404.37,2026-08-31
6,KERVN,98,286.81,10.4,11.11,1.91,6.39,444.5,2026-08-31
7,HEDEF,98,242.48,93.6,396.0,11.31,76.36,727.34,2026-08-31
8,EUPWR,98,227.0,105.5,108.6,25.5,2.85,313.73,2026-08-31
9,MANAS,98,202.08,33.2,35.48,6.31,6.43,426.15,2026-08-31
10,CRFSA,98,199.45,268.0,338.25,77.2,20.77,247.15,2026-08-31
11,INVES,97,196.93,820.0,870.0,194.8,5.75,320.94,2026-08-31
12,TKFEN,97,193.3,221.0,245.2,66.69,9.87,231.41,2026-08-31
13,ARDYZ,97,190.87,90.0,97.9,24.39,8.07,269.0,2026-08-31
14,EDATA,97,188.99,18.8,26.18,4.6,28.19,308.7,2026-08-31
15,KGYO,96,186.3,13.28,14.0,3.16,5.14,320.25,2026-08-31
16,VERUS,96,177.65,696.0,764.5,168.7,8.96,312.57,2026-08-31
17,CELHA,96,176.51,25.52,27.82,8.32,8.27,206.73,2026-08-31
18,KLSYN,96,171.73,15.9,16.4,5.08,3.02,212.86,2026-08-31
19,POLHO,96,170.94,22.2,25.3,4.26,12.25,421.13,2026-08-31
20,OZSUB,95,168.99,44.6,45.8,16.21,2.62,175.19,2026-08-31
21,GMTAS,95,168.96,45.14,54.9,11.01,17.78,309.96,2026-08-31
22,TUPRS,95,168.05,396.0,407.5,150.84,2.82,162.52,2026-08-31
23,MOGAN,95,164.86,20.36,21.86,8.01,6.86,154.18,2026-08-31
24,IZMDC,94,163.45,13.95,14.85,5.84,6.06,138.87,2026-08-31
